,City,Lat,Lng,Max Temp.,Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
128,Abhā,18.22,42.51,286.15,32,0,3.1,SA,1603082505
130,Florø,61.6,5.03,276.15,93,100,3.1,NO,1603082505
133,Pangnirtung,66.15,-65.71,273.58,94,100,7.42,CA,1603082506
134,Mbandaka,0.05,18.26,295.22,95,84,0.97,CD,1603082506
135,Leningradskiy,69.38,178.42,268.92,88,0,3.41,RU,1603082506
137,Laas,46.62,10.7,276.48,72,36,1.5,IT,1603082251
138,Cockburn Town,21.46,-71.14,300.98,74,99,5.92,TC,1603082507
139,Athabasca,54.72,-113.29,266.08,83,0,2.12,CA,1603082507
141,Myre,69.1,15.95,272.15,86,0,2.1,NO,1603082508
142,Chokurdakh,70.63,147.92,265.76,98,90,2.97,RU,1603082508
143,Yellowknife,62.46,-114.35,268.15,92,90,2.1,CA,1603082509
144,Tonj,7.27,28.68,295.25,89,45,1.15,SS,1603082509
145,Ilulissat,69.22,-51.1,286.15,35,100,5.7,GL,1603082509
147,Tubualá,9.52,-79.03,297.15,94,40,1.5,PA,1603082509
148,Bethel,41.37,-73.41,281.48,94,61,1.58,US,1603082510
150,Havre-St-Pierre,50.23,-63.6,274.15,100,1,3.1,CA,1603082510
151,Tondano,1.3,124.91,306.15,46,40,4.6,ID,1603082510
153,Xiongzhou,25.12,114.3,293.28,65,88,2.83,CN,1603082511
154,Severo-Kuril'sk,50.68,156.12,282.61,80,53,4.77,RU,1603082511
155,Burns Lake,54.23,-125.75,271.17,97,100,1.14,CA,1603082511
156,Oneida,43.2,-75.47,286.15,62,90,3.6,US,1603082512
157,Castelo Branco,39.82,-7.49,287.59,75,22,8.05,PT,1603082512
159,Mīzan Teferī,6.98,35.58,291.12,82,98,1.01,ET,1603082512
160,Egvekinot,66.32,-179.17,268.78,87,0,0.35,RU,1603082512
162,Lata,40.16,-8.33,290.37,72,39,4.1,PT,1603082513
163,Yasnyy,51.03,59.87,283.87,49,0,7.91,RU,1603082513
165,Norman Wells,65.28,-126.83,258.15,92,5,1.0,CA,1603082514
167,Wenatchee,47.42,-120.31,287.04,81,40,3.28,US,1603082514
168,Shubarkuduk,49.14,56.49,287.4,34,0,6.65,KZ,1603082514
170,Goderich,43.75,-81.72,281.48,86,100,4.59,CA,1603082515
171,San Policarpo,12.18,125.51,301.48,80,100,2.69,PH,1603082515
172,Libreville,0.39,9.45,298.15,94,40,2.6,GA,1603082515
173,Ostrovnoy,68.05,39.51,275.6,80,98,6.28,RU,1603082515
174,Ullal,12.8,74.85,300.15,83,75,1.34,IN,1603082516
175,Kota Kinabalu,5.97,116.07,298.15,94,40,4.6,MY,1603082516
176,Mali,12.08,-12.3,289.49,85,54,0.27,GN,1603082516
177,Grindavik,63.84,-22.43,278.15,80,0,8.7,IS,1603082516
178,Malakal,9.53,31.66,295.98,91,58,1.79,SS,1603082517
179,Saskylakh,71.92,114.08,266.11,97,96,2.77,RU,1603082217
184,Corozal,9.32,-75.29,297.2,89,100,2.08,CO,1603082518
185,Monchegorsk,67.94,32.87,271.2,94,100,3.93,RU,1603082519
186,Venkatagiri,13.97,79.58,300.15,83,40,3.27,IN,1603082519
187,Asău,46.43,26.4,281.15,100,41,1.0,RO,1603082519
188,Sciacca,37.51,13.09,285.37,89,0,1.34,IT,1603082519
189,Tarquinia,42.25,11.76,284.82,77,0,2.51,IT,1603082520
190,Laguna,38.42,-121.42,295.37,59,1,1.86,US,1603082231
191,Pasni,25.26,63.47,301.41,27,0,9.89,PK,1603082520
192,Winnemucca,40.97,-117.74,284.15,34,1,1.5,US,1603082240
193,Marawi,8.0,124.29,298.46,85,98,1.61,PH,1603082520
197,Lauchhammer,51.5,13.8,280.93,89,94,1.34,DE,1603082521
199,Sukhumi,43.0,41.02,292.55,54,81,1.69,GE,1603082522
200,Katsuura,35.13,140.3,291.15,55,75,3.6,JP,1603082513
202,Jacqueville,5.21,-4.41,299.15,88,20,2.6,CI,1603082523
203,Kyzyl-Suu,42.34,78.01,284.5,37,0,1.91,KG,1603082523
204,Chagoda,59.16,35.33,275.41,84,90,4.95,RU,1603082523
205,Wąbrzeźno,53.28,18.95,278.71,96,8,3.85,PL,1603082523
206,Abong Mbang,3.98,13.18,292.25,98,100,0.91,CM,1603082523
207,Clyde River,70.47,-68.59,273.15,97,90,11.8,CA,1603082524
209,Portland,45.52,-122.68,289.26,86,66,0.45,US,1603082365
211,Abu Dhabi,24.47,54.37,300.15,44,0,2.1,AE,1603082402
212,Qandala,11.47,49.87,302.94,43,0,2.42,SO,1603082525
215,Klaksvík,62.23,-6.59,278.15,86,100,6.2,FO,1603082526
216,Kysyl-Syr,63.9,122.76,266.53,89,19,0.99,RU,1603082526
218,Udachny,66.42,112.4,264.15,92,90,3.0,RU,1603082526
219,Baghdad,33.34,44.4,290.15,67,0,1.5,IQ,1603082297
220,Fairbanks,64.84,-147.72,266.15,67,90,1.08,US,1603082446
221,Illertissen,48.22,10.1,278.71,93,75,1.0,DE,1603082527
222,Port Blair,11.67,92.75,301.35,81,99,8.43,IN,1603082527
223,Iqaluit,63.75,-68.51,273.15,93,20,10.8,CA,1603082527
224,Bubaque,11.28,-15.83,300.72,88,8,6.24,GW,1603082528
227,Naze,28.37,129.48,300.15,83,75,10.8,JP,1603082528
228,Mnogovershinnyy,53.94,139.92,269.08,96,100,6.85,RU,1603082528
229,Ribeira Grande,38.52,-28.7,290.27,72,9,8.76,PT,1603082529
232,Pitsunda,43.16,40.34,289.15,82,50,5.0,GE,1603082529
233,Takoradze,4.88,-1.76,298.11,88,73,2.88,GH,1603082529
236,Port Hardy,50.7,-127.42,283.15,100,90,1.0,CA,1603082530
238,Annau,37.89,58.52,288.15,30,0,1.0,TM,1603082530
239,Cabra,37.47,-4.44,287.04,51,70,2.68,ES,1603082531
240,Hofn,64.25,-15.21,277.06,88,100,9.96,IS,1603082531
241,Niquero,20.04,-77.58,299.15,81,96,3.21,CU,1603082531
242,Catió,11.28,-15.25,299.12,95,33,2.56,GW,1603082532
243,Jiwani,25.05,61.74,300.35,23,0,6.26,PK,1603082532
246,Kiryat Gat,31.61,34.76,295.37,93,0,0.92,IL,1603082532
247,Praia da Vitória,38.73,-27.07,287.15,93,75,6.77,PT,1603082533
248,Pagudpud,18.56,120.79,306.15,63,40,2.1,PH,1603082533
249,Boa Vista,2.82,-60.67,301.15,65,41,3.1,BR,1603082533
250,Najrān,17.49,44.13,289.15,36,0,0.63,SA,1603082533
254,Husavik,66.04,-17.34,277.15,69,90,3.1,IS,1603082534
255,Torbay,47.67,-52.73,284.82,100,90,1.0,CA,1603082535
256,Upernavik,72.79,-56.15,275.09,79,100,2.39,GL,1603082535
257,São Filipe,14.9,-24.5,299.74,80,91,0.75,CV,1603082535
259,Dingle,11.0,122.67,302.56,77,99,3.94,PH,1603082535
261,Ixtapa,20.7,-105.2,301.15,88,40,0.81,MX,1603082536
263,Thinadhoo,0.53,72.93,301.49,77,66,6.64,MV,1603082536
264,Kodinsk,58.69,99.18,273.37,90,100,5.9,RU,1603082537
265,Makakilo City,21.35,-158.09,301.15,69,20,4.6,US,1603082537
266,Atar,20.52,-13.05,301.64,30,13,3.61,MR,1603082253
267,Ponta do Sol,32.67,-17.1,296.15,83,75,15.4,PT,1603082537
268,Vestmannaeyjar,63.44,-20.27,279.3,65,0,6.17,IS,1603082537
269,Elko,41.0,-115.5,284.15,29,1,1.61,US,1603082538
270,Mandera,3.94,41.87,300.49,56,47,4.41,KE,1603082538
271,Mayo,38.89,-76.51,289.15,82,1,2.6,US,1603082259
272,Whitehorse,60.72,-135.05,268.15,67,90,1.0,CA,1603082538
273,Tigil',57.8,158.67,278.83,72,100,5.67,RU,1603082538
275,Chapayevka,47.47,36.35,285.4,62,100,3.51,UA,1603082539
276,Cabo San Lucas,22.89,-109.91,300.93,84,2,3.9,MX,1603082539
278,Muli,2.92,73.57,301.32,78,64,6.65,MV,1603082539
279,George Town,5.41,100.34,304.15,70,20,1.5,MY,1603082540
280,Bumba,2.18,22.47,295.22,97,91,1.44,CD,1603082540
281,Vila,42.03,-8.16,287.04,51,97,3.47,PT,1603082540
282,Isla Mujeres,21.23,-86.73,300.15,88,40,3.1,MX,1603082540
283,Fairlie,55.76,-4.86,284.26,93,98,4.6,GB,1603082541
284,Telimele,10.92,-13.33,294.64,93,97,0.21,GN,1603082541
285,Alamosa,37.47,-105.87,281.15,33,1,2.6,US,1603082541
287,Deputatsky,69.3,139.9,261.67,95,100,2.91,RU,1603082541
288,Beipiao,41.79,120.78,292.79,23,0,3.16,CN,1603082542
289,Klyuchi,52.27,79.17,277.56,66,31,3.88,RU,1603082542
290,Casablanca,33.59,-7.62,289.15,67,86,1.5,MA,1603082380
292,Tiksi,71.69,128.87,264.47,94,96,8.61,RU,1603082542
293,Dauriya,49.93,116.87,285.71,40,26,4.19,RU,1603082543
296,Saint George,37.1,-113.58,294.15,14,1,2.1,US,1603082338
297,Igrim,63.19,64.42,272.0,98,100,2.29,RU,1603082544
298,Bagdarin,54.43,113.6,279.24,63,97,0.94,RU,1603082544
301,Butaritari,3.07,172.79,300.94,72,47,6.91,KI,1603082545
302,Nayoro,44.35,142.46,284.4,62,27,4.95,JP,1603082545
303,Longyearbyen,78.22,15.64,270.15,73,75,5.7,SJ,1603082546
304,Impfondo,1.64,18.07,294.57,98,100,1.48,CG,1603082546
306,Skourta,38.21,23.55,292.15,76,20,2.51,GR,1603082546
307,Lanzhou,36.06,103.79,281.15,45,100,3.0,CN,1603082546
308,Maple Creek,49.92,-109.48,265.28,89,22,1.62,CA,1603082547
310,Pandan,14.05,124.17,301.46,82,100,5.74,PH,1603082547
312,Sovetskiy,61.36,63.58,273.76,94,100,3.03,RU,1603082548
313,Bilibino,68.05,166.44,265.14,95,98,0.91,RU,1603082548
314,Iskateley,67.68,53.15,270.73,96,65,1.68,RU,1603082548
315,Miquelon,47.1,-56.38,285.03,93,99,5.24,PM,1603082548
316,Vári,37.83,23.81,292.04,63,20,4.63,GR,1603082549
317,Ji’an,27.12,114.98,291.21,76,90,4.84,CN,1603082549
318,Lewistown,40.6,-77.57,283.15,81,75,0.94,US,1603082549
319,Tezu,27.92,96.17,298.72,68,74,1.13,IN,1603082549
320,Kalmunai,7.42,81.82,303.91,55,91,1.75,LK,1603082549
321,Kudahuvadhoo,2.67,72.89,301.39,77,76,6.5,MV,1603082550
322,Nuuk,64.18,-51.72,277.15,100,100,12.3,GL,1603082550
323,Quesnel,53.0,-122.5,273.15,92,90,1.0,CA,1603082528
324,Gijang,35.24,129.21,296.15,47,45,2.6,KR,1603082550
326,Kumul,42.8,93.45,289.41,27,30,2.94,CN,1603082551
327,Bocanda,7.06,-4.5,295.46,98,67,1.44,CI,1603082551
328,Khuzhir,53.19,107.34,280.18,76,100,5.81,RU,1603082551
330,Adrar,20.5,-10.07,300.15,28,0,3.9,MR,1603082552
332,Nishihara,26.18,127.76,303.15,74,20,10.3,JP,1603082552
333,Umm Kaddadah,13.6,26.69,300.0,17,22,3.27,SD,1603082553
335,Kuching,1.55,110.33,304.15,70,40,1.0,MY,1603082553
336,West Plains,36.73,-91.85,283.15,93,90,4.1,US,1603082414
338,Muskegon,43.3,-86.13,275.15,74,1,0.65,US,1603082554
340,Krasnosel'kup,65.7,82.47,267.01,97,74,4.82,RU,1603082554
343,Hay River,60.82,-115.8,266.15,73,75,3.6,CA,1603082555
344,Baijiantan,45.63,85.18,292.84,24,10,12.76,CN,1603082556
345,Damortis,16.24,120.41,302.56,69,1,1.65,PH,1603082556
347,Bad Aussee,47.61,13.78,278.15,99,40,1.24,AT,1603082556
348,Nantucket,41.28,-70.1,285.93,70,1,2.6,US,1603082556
349,Colares,38.8,-9.45,289.26,99,19,7.15,PT,1603082557
350,Talnakh,69.49,88.4,261.15,92,20,5.0,RU,1603082557
351,Hong Kong,22.29,114.16,299.82,64,10,0.89,HK,1603082557
352,Solnechnyy,50.72,136.63,275.91,67,100,1.62,RU,1603082557
353,Chumikan,54.72,135.31,273.74,75,79,8.28,RU,1603082558
354,Salalah,17.02,54.09,300.15,30,3,1.5,OM,1603082558
356,Chiusi,43.02,11.95,281.48,84,0,0.54,IT,1603082558
360,Tabou,4.42,-7.35,297.75,90,84,3.17,CI,1603082559
361,Zhezkazgan,47.8,67.71,283.03,47,0,3.59,KZ,1603082559
362,Hamilton,39.18,-84.53,286.48,87,90,1.5,US,1603082559
363,Surgāna,20.57,73.62,299.06,84,92,1.34,IN,1603082560
365,Nizwá,22.93,57.53,303.7,10,5,0.51,OM,1603082560
369,Homer,59.64,-151.55,278.15,93,1,1.5,US,1603082561
370,Hetauda,27.43,85.03,297.15,69,40,2.1,NP,1603082561
371,Sakakah,29.97,40.21,290.15,18,0,1.85,SA,1603082561
372,Los Llanos de Aridane,28.66,-17.92,296.15,88,80,4.1,ES,1603082262
374,Doha,25.29,51.53,304.26,51,0,2.1,QA,1603082518
375,Broome,42.25,-75.83,283.71,66,75,3.1,US,1603082562
376,Shenzhen,22.55,114.07,300.37,57,20,6.0,CN,1603082542
377,Pétionville,18.51,-72.29,295.41,83,44,1.17,HT,1603082563
379,Chontalpa,17.7,-93.52,296.4,95,74,1.63,MX,1603082563
380,Vezirköprü,41.14,35.45,286.15,76,75,1.0,TR,1603082563
381,Sinegorsk,47.17,142.5,282.15,34,39,5.0,RU,1603082563
382,Tinos,37.54,25.16,293.71,72,61,4.1,GR,1603082564
384,Kon Tum,14.35,108.0,298.55,80,99,0.9,VN,1603082441
386,Nanortalik,60.14,-45.24,276.98,90,98,1.29,GL,1603082564
387,Pedernales,18.04,-71.74,300.05,67,77,2.15,DO,1603082565
388,Sibolga,1.74,98.78,303.85,54,100,2.09,ID,1603082565
389,Zhigalovo,54.81,105.16,274.49,86,100,4.85,RU,1603082565
390,Bac Lieu,9.29,105.72,302.92,69,95,1.99,VN,1603082565
391,Sawākin,19.11,37.33,301.87,65,0,3.44,SD,1603082566
392,Lavrentiya,65.58,-171.0,274.61,88,11,2.77,RU,1603082566
393,Isla Vista,34.41,-119.86,292.59,88,20,1.5,US,1603082566
395,Riyadh,24.69,46.72,290.15,29,0,1.0,SA,1603082301
396,Sinnamary,5.38,-52.95,299.51,83,1,4.21,GF,1603082567
397,Bosaso,11.28,49.18,303.16,40,0,0.92,SO,1603082567
398,Aljezur,37.32,-8.8,290.54,89,15,4.26,PT,1603082567
399,Praxédis Guerrero,31.37,-106.02,297.15,10,1,3.1,MX,1603082568
401,Saint-François,46.42,3.91,274.26,91,90,1.86,FR,1603082568
404,Assiut,27.18,31.18,297.38,37,0,2.35,EG,1603082569
405,Cherskiy,68.75,161.3,267.06,94,82,3.18,RU,1603082569
407,Griffith,41.53,-87.42,278.15,93,1,2.6,US,1603082569
408,Dossor,47.53,52.98,289.16,28,0,6.83,KZ,1603082569
410,Brae,60.4,-1.35,280.15,87,100,7.2,GB,1603082570
411,Nha Trang,12.25,109.18,304.15,79,40,2.6,VN,1603082570
414,Maniitsoq,65.42,-52.9,277.2,80,100,13.59,GL,1603082571
416,Shimanovsk,52.0,127.7,275.57,71,0,1.42,RU,1603082571
417,Tagbina,8.45,126.17,305.4,59,100,0.28,PH,1603082572
418,Naraini,25.18,80.48,304.78,42,0,1.96,IN,1603082572
420,Zhigansk,66.77,123.37,262.36,91,56,3.23,RU,1603082572
421,Lisburn,54.52,-6.04,285.15,87,100,6.2,GB,1603082573
422,Alvin,29.42,-95.24,299.26,83,90,3.1,US,1603082573
424,Oga,46.46,10.35,275.37,92,45,0.5,IT,1603082573
426,Pointe Michel,15.25,-61.38,300.38,71,23,2.37,DM,1603082574
430,Rock Springs,41.59,-109.2,284.15,40,1,12.9,US,1603082575
432,Sinegor'ye,62.08,150.48,267.84,82,83,2.64,RU,1603082575
434,Karabulak,43.3,44.9,278.15,86,16,2.0,RU,1603082576
435,Mil'kovo,54.72,158.62,280.68,64,82,4.2,RU,1603082576
437,North Bend,43.41,-124.22,288.71,100,90,0.52,US,1603082577
440,Teeli,51.03,90.23,274.77,61,25,2.15,RU,1603082577
442,Kirkwall,58.98,-2.96,281.15,81,100,2.6,GB,1603082578
443,Finca Blanco,8.38,-82.87,298.71,86,99,1.44,PA,1603082578
446,Barañáin,42.81,-1.68,279.26,100,96,0.5,ES,1603082578
447,Bhatkal,13.97,74.57,300.35,74,71,2.01,IN,1603082579
449,Behshahr,36.69,53.55,287.15,71,0,1.0,IR,1603082579
450,Swift Current,50.28,-107.8,265.15,78,90,2.6,CA,1603082579
451,Blackpool,53.82,-3.05,284.26,90,99,0.45,GB,1603082513
452,Seidu,9.02,-10.6,292.56,99,94,0.56,SL,1603082580
453,Hendek,40.8,30.75,288.15,100,90,2.1,TR,1603082580
455,Isiolo,0.35,37.58,295.95,53,7,2.93,KE,1603082580
456,Sørland,67.67,12.69,273.15,62,0,2.6,NO,1603082580
457,Aksu,41.12,80.26,291.22,24,0,1.33,CN,1603082581
458,Lebyazh'ye,55.27,66.49,279.1,59,100,10.03,RU,1603082581
459,Bayshore Gardens,27.43,-82.59,298.71,88,90,4.6,US,1603082581
460,Birjand,32.87,59.22,282.15,21,0,5.1,IR,1603082581
462,Saint John,45.27,-66.07,279.15,93,5,2.6,CA,1603082582
463,Ajdabiya,30.76,20.23,295.03,70,100,3.08,LY,1603082582
466,Fort Walton Beach,30.41,-86.62,296.48,78,1,1.5,US,1603082583
467,Korsholm,63.11,21.68,275.93,100,75,2.6,FI,1603082583
468,Borova,50.18,30.1,280.15,87,75,5.0,UA,1603082583
469,Lagoa,39.05,-27.98,289.59,76,13,9.38,PT,1603082583
472,Yeniseysk,58.45,92.17,273.41,90,100,6.47,RU,1603082584
473,Bhādāsar,28.28,74.32,306.12,11,0,2.83,IN,1603082584
474,Vila Franca do Campo,37.72,-25.43,291.15,63,40,8.7,PT,1603082585
475,Vylkove,45.4,29.59,283.75,69,17,5.19,UA,1603082585
476,Hambantota,6.12,81.12,303.15,70,40,5.1,LK,1603082585
477,Giresun Province,40.5,38.5,291.15,100,75,1.0,TR,1603082585
478,Nālūt,30.33,10.85,285.68,71,0,6.01,LY,1603082585
479,Tazovsky,67.47,78.7,268.36,95,99,6.72,RU,1603082586
481,Port Hueneme,34.15,-119.2,291.48,93,90,2.6,US,1603082586
482,Hasaki,35.73,140.83,290.37,77,90,3.6,JP,1603082586
483,Sosnovka,56.26,51.28,279.02,84,14,4.67,RU,1603082586
485,Ola,59.58,151.28,275.29,93,100,6.0,RU,1603082587
486,Stabat,3.76,98.45,304.15,70,40,2.6,ID,1603082587
487,Cuiluan,47.72,128.65,283.38,46,1,5.18,CN,1603082587
488,Xinzhi,36.5,111.7,293.49,23,0,0.36,CN,1603082588
489,Arrondissement de Millau,44.08,2.92,281.48,93,32,2.6,FR,1603082588
490,Lerwick,60.15,-1.15,280.15,87,100,7.2,GB,1603082405
491,Markha,62.11,129.73,270.15,63,20,1.0,RU,1603082588
492,Aykhal,66.0,111.5,264.15,92,90,3.0,RU,1603082589
493,Tateyama,34.98,139.87,291.15,55,75,3.6,JP,1603082589
494,Gallup,35.53,-108.74,284.15,20,1,1.6,US,1603082515
495,Vostok,46.49,135.88,278.12,63,0,4.26,RU,1603082589
496,Salem,11.65,78.17,300.15,78,75,2.6,IN,1603082589
499,Prince Rupert,54.32,-130.32,279.15,100,90,2.6,CA,1603082590
501,Yangi Marg`ilon,40.43,71.72,290.15,33,0,2.1,UZ,1603082590
502,Téra,14.01,0.75,303.26,35,13,3.17,NE,1603082591
504,Virginia Beach,36.85,-75.98,291.48,77,75,2.6,US,1603082591
505,Makurdi,7.74,8.51,295.92,96,45,1.86,NG,1603082591
507,Samaná,19.21,-69.34,298.0,86,84,2.67,DO,1603082591
508,El Sauce,12.89,-86.54,296.96,87,100,1.23,NI,1603082592
509,Simao,22.79,100.97,296.74,60,100,1.67,CN,1603082592
510,Nicoya,10.15,-85.45,297.0,92,100,0.54,CR,1603082592
512,Bestöbe,52.5,73.1,278.73,58,57,6.29,KZ,1603082593
514,Sisimiut,66.94,-53.67,277.11,85,100,21.44,GL,1603082593
515,Alikovo,55.74,46.75,278.15,86,75,4.0,RU,1603082593
517,Menton,43.78,7.5,285.15,71,20,5.7,FR,1603082594
518,Stende,57.15,22.53,280.15,56,42,8.2,LV,1603082594
519,Olafsvik,64.89,-23.71,278.2,75,17,12.89,IS,1603082594
520,Avera,33.19,-82.53,287.15,93,1,2.6,US,1603082594
521,Mahon,39.89,4.27,288.15,72,20,2.1,ES,1603082595
522,Saint-Augustin,51.23,-58.65,280.0,79,98,1.94,CA,1603082595
523,Severodvinsk,64.56,39.83,273.15,98,90,4.0,RU,1603082595
524,Lungi,9.22,-12.68,296.49,96,84,0.37,SL,1603082595
525,Dillon,34.42,-79.37,285.37,93,1,1.5,US,1603082595
526,Karabük,41.2,32.63,288.61,79,82,1.96,TR,1603082596
527,Caronport,50.45,-105.82,268.15,59,2,1.34,CA,1603082596
528,Dalnegorsk,44.56,135.57,284.22,42,13,3.24,RU,1603082596
531,Kushmurun,52.45,64.63,280.84,53,26,8.42,KZ,1603082597
532,Supaul,26.12,86.6,304.41,44,0,1.38,IN,1603082597
533,Aksha,50.28,113.29,285.17,41,32,1.64,RU,1603082597
534,Sarakhs,36.54,61.16,287.15,35,0,4.1,IR,1603082598
535,Berlevåg,70.86,29.09,271.15,92,90,1.5,NO,1603082598
536,Turka,49.15,23.03,277.04,89,93,4.92,UA,1603082598
537,Zeya,53.75,127.27,273.49,79,0,1.21,RU,1603082598
539,Benavente,42.0,-5.68,284.26,66,76,2.1,ES,1603082599
540,Havøysund,71.0,24.66,276.15,86,75,1.0,NO,1603082599
542,Golubitskaya,45.32,37.28,288.71,87,99,4.0,RU,1603082599
543,San Juan del Sur,11.25,-85.87,300.06,79,99,5.21,NI,1603082600
