,City,Country,Lat,Lng,Max Temp. (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
46,Qaanaaq,GL,77.48,-69.36,27.05,82,15,14.9,1603124989
47,Saint Paul Harbor,US,57.79,-152.41,30.2,92,1,3.36,1603125285
48,Mataura,NZ,-46.19,168.86,48.99,74,66,15.99,1603125285
49,Comodoro Rivadavia,AR,-45.87,-67.5,59,24,75,21.92,1603125161
50,Torbay,CA,47.67,-52.73,57.99,92,95,6.04,1603125286
51,Bethanien,NA,-26.5,17.16,80.92,16,0,16.15,1603125286
52,Khuzhir,RU,53.19,107.34,33.1,85,100,16.89,1603125286
53,Treinta y Tres,UY,-33.23,-54.38,86.09,51,9,5.37,1603125287
54,Yulara,AU,-25.24,130.99,68,82,30,13.87,1603125287
55,Bluff,NZ,-46.6,168.33,48.99,75,79,17,1603124992
56,Broken Hill,AU,-31.95,141.43,53.6,54,99,6.93,1603125063
57,Alice Springs,AU,-23.7,133.88,68,72,28,6.93,1603125020
58,Butaritari,KI,3.07,172.79,81.72,73,100,12.03,1603124995
59,Dalvik,IS,65.97,-18.53,39.2,69,75,4.7,1603125288
60,Meulaboh,ID,4.14,96.13,78.57,83,95,2.55,1603125190
61,Tselina,RU,46.53,41.03,55.58,89,100,10.49,1603125289
62,Kungurtug,RU,50.6,97.52,16.41,90,95,3.62,1603125289
63,Ushuaia,AR,-54.8,-68.3,39.2,86,75,34.45,1603125289
64,Cagsiay,PH,14.22,121.75,81.12,84,100,17.52,1603125289
65,Saint-Pierre,RE,-21.34,55.48,75.2,73,4,19.46,1603125290
66,Tigil',RU,57.8,158.67,34.54,89,89,12.06,1603125290
67,Puerto Ayora,EC,-0.74,-90.35,77,69,75,9.17,1603125144
68,Atuona,PF,-9.8,-139.03,78.17,73,5,22.62,1603125291
69,Guerrero Negro,MX,27.98,-114.06,79.2,56,0,5.35,1603125291
70,Gombe,NG,10.29,11.17,78.8,69,20,5.82,1603125291
71,Bethel,US,41.37,-73.41,61,72,90,5.66,1603124999
72,College,US,64.86,-147.8,17.6,85,90,1.25,1603125011
73,Northam,GB,51.03,-4.22,57,82,100,15.99,1603125292
74,Portland,US,45.52,-122.68,57.99,87,75,4.7,1603124762
75,Caucayá,CO,-0.19,-74.78,96.17,43,80,0.83,1603125292
76,Ostrovnoy,RU,68.05,39.51,34.11,90,98,8.79,1603125013
77,Dunmore East,IE,52.15,-6.99,55,93,75,14.99,1603125293
78,Rincon,US,32.3,-81.24,79,54,20,11.41,1603125153
79,Norman Wells,CA,65.28,-126.83,16.57,88,11,6.2,1603125020
80,Villa Bruzual,VE,9.33,-69.12,88.25,66,100,2.62,1603125293
81,Dwārka,IN,22.24,68.97,85.03,74,8,7.49,1603125293
82,Prince George,CA,53.92,-122.75,30.99,97,100,2.77,1603125018
83,Mahébourg,MU,-20.41,57.7,75.2,73,40,8.05,1603125294
84,Tazovsky,RU,67.47,78.7,17.71,96,54,8.37,1603125128
85,Rome,US,43.21,-75.46,55.4,82,90,3.36,1603125294
86,George Town,MY,5.41,100.34,82.4,83,20,4.7,1603125294
87,Bengkulu,ID,-3.8,102.27,76.55,88,94,3.56,1603125295
88,Deputatsky,RU,69.3,139.9,8.01,95,94,5.53,1603125295
89,Kupang,ID,-10.17,123.58,78.49,77,28,6.2,1603125295
90,Katsuura,JP,35.13,140.3,57.2,87,75,6.93,1603125295
91,Avera,US,33.19,-82.53,73.4,56,1,6.93,1603125295
92,Grindavik,IS,63.84,-22.43,42.8,67,51,8.05,1603125296
93,Khandyga,RU,62.67,135.6,13.33,97,85,0.22,1603125181
94,Rantauprapat,ID,2.1,99.83,75.58,90,45,2.3,1603125296
95,Kavieng,PG,-2.57,150.8,82.06,71,22,3.18,1603125296
96,Mount Gambier,AU,-37.83,140.77,39.2,93,40,2.15,1603125067
97,Hong Kong,HK,22.29,114.16,75.99,72,34,1.01,1603125297
98,Castro,BR,-24.79,-50.01,74.19,70,13,5.79,1603124997
99,Nikolskoye,RU,59.7,30.79,36,95,90,8.95,1603125297
100,Port Alfred,ZA,-33.59,26.89,66.69,85,68,12.26,1603125297
101,Tinskoy,RU,56.15,96.92,28.62,90,99,10.49,1603125298
102,Bubaque,GW,11.28,-15.83,83.97,80,43,7.87,1603125298
103,Shubarshi,KZ,48.59,57.19,57,35,0,11.52,1603125298
104,Bredasdorp,ZA,-34.53,20.04,62.6,55,52,17.22,1603125298
105,Dikson,RU,73.51,80.55,23.99,95,94,19.57,1603125175
106,Bereda,ES,43.27,-7.54,60.01,97,100,15.99,1603125299
107,Nārsingi,IN,18.03,78.43,75.99,94,75,3.49,1603125299
108,Cartagena del Chairá,CO,1.33,-74.84,96.71,43,55,0.6,1603125299
109,Algiers,DZ,36.75,3.04,75.2,47,0,9.17,1603125187
110,Zambezi,ZM,-13.54,23.1,79.68,16,0,5.77,1603125300
111,Ust-Nera,RU,64.57,143.2,3.16,82,71,2.33,1603125300
112,Bayir,TR,37.27,28.22,71.6,53,40,6.93,1603125300
113,Maumere,ID,-8.62,122.21,79.54,76,41,4.07,1603125223
114,Plettenberg Bay,ZA,-34.05,23.37,60.87,79,69,7.27,1603125301
115,Lorengau,PG,-2.02,147.27,80.47,75,72,1.57,1603125301
116,Cartaya,ES,37.28,-7.15,70,59,96,15.99,1603125301
117,Cape Town,ZA,-33.93,18.42,64.4,45,20,13.87,1603125123
118,Sept-Îles,CA,50.2,-66.38,45,83,98,5.99,1603125140
119,Ilulissat,GL,69.22,-51.1,41,56,75,16.11,1603125213
120,Chui,UY,-33.7,-53.46,80.96,54,92,6.4,1603125302
121,Saint-Philippe,RE,-21.36,55.77,75.2,73,32,19.46,1603125302
122,Itarema,BR,-2.92,-39.92,86.41,57,59,20.87,1603125303
123,Port-Gentil,GA,-0.72,8.78,82.4,78,40,18.34,1603125213
124,Kapaa,US,22.08,-159.32,75,75,1,6.98,1603125164
125,Mossamedes,AO,-15.2,12.15,73.4,73,75,20.8,1603125180
126,Constitución,CL,-35.33,-72.42,61.41,48,0,16.96,1603125304
127,Dolisie,CG,-4.2,12.67,76.55,83,64,8.32,1603125304
128,Ayutla,MX,20.12,-104.33,80.31,47,2,3.42,1603125304
129,Arrondissement de Laon,FR,49.57,3.67,55.4,58,82,8.05,1603125304
130,Ukiah,US,39.15,-123.21,66.99,66,1,0.4,1603124800
131,Yumen,CN,40.28,97.2,48.09,43,17,18.41,1603125305
132,Aquin,HT,18.28,-73.4,84.49,69,62,5.99,1603125305
133,Provideniya,RU,64.38,-173.3,32.05,87,16,5.1,1603125162
134,Lagoa,PT,39.05,-27.98,64.17,73,99,35.46,1603125305
135,Hermanus,ZA,-34.42,19.23,61,69,70,4,1603125306
136,Distrikt Brokopondo,SR,4.75,-55.17,91.02,46,6,1.95,1603125306
137,Turka,UA,49.15,23.03,39.99,96,17,5.39,1603125306
138,Salta,AR,-24.79,-65.41,91.4,21,0,4.7,1603125300
139,Saint Anthony,US,45.02,-93.22,35.01,59,90,3.36,1603125062
140,Tasiilaq,GL,65.61,-37.64,32,97,40,14.99,1603125307
141,Alta Floresta,BR,-9.88,-56.09,92.43,42,76,5.1,1603125207
142,Swan River,CA,52.11,-101.27,28.9,84,14,5.53,1603125307
143,Codrington,AU,-38.27,141.97,42.64,88,6,3.44,1603125307
144,Evinayong,GQ,1.44,10.55,70.92,97,79,2.89,1603125308
145,Tiksi,RU,71.69,128.87,16,93,100,22.08,1603125308
146,Padang,ID,-0.95,100.35,78.75,72,33,3.58,1603125307
147,Nisibis,TR,37.08,41.22,78.8,24,0,6.93,1603125308
148,Yellowknife,CA,62.46,-114.35,23,96,94,4,1603125309
149,Granja,BR,-3.12,-40.83,100.69,28,63,8.7,1603125309
150,Hirtshals,DK,57.59,9.96,46,83,100,9.01,1603125309
151,Baicheng,CN,45.62,122.82,46.98,52,0,8.01,1603125309
152,Samarai,PG,-10.62,150.67,78.98,88,63,8.79,1603125309
153,Pridonskoy,RU,51.68,39.07,46.4,70,81,4.47,1603125310
154,Teguise,ES,29.06,-13.56,75.2,73,20,9.17,1603125310
155,Strezhevoy,RU,60.73,77.59,32,99,90,6.71,1603125310
156,Seymchan,RU,62.88,152.43,20.44,94,100,13.76,1603125310
157,Oulainen,FI,64.27,24.8,32,90,100,4,1603125311
158,Ust'-Kut,RU,56.79,105.77,26.02,94,87,7.27,1603125311
159,Saskylakh,RU,71.92,114.08,20.82,97,85,5.03,1603125311
160,Phek,IN,25.67,94.5,56.55,100,41,2.51,1603125311
161,Johnstown,US,40.33,-78.92,55,58,90,4.7,1603125040
162,Necochea,AR,-38.55,-58.74,59,72,28,5.99,1603125312
163,Viedma,AR,-40.81,-63,66.99,22,0,5.99,1603125166
164,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,41,75,92,4.47,1603125312
165,Camacha,PT,33.08,-16.33,73.4,64,20,8.05,1603125312
166,Fortuna,US,40.6,-124.16,55,100,90,5.82,1603125156
167,Richards Bay,ZA,-28.78,32.04,73.99,81,0,9.6,1603125313
168,Kalemie,CD,-5.95,29.19,76.91,59,16,2.51,1603125313
169,Waitara,NZ,-38.92,174.25,57.87,95,100,9.37,1603125313
170,Brae,GB,60.4,-1.35,46.4,93,75,31.09,1603125227
171,Kavaratti,IN,10.57,72.64,81.21,73,81,10.29,1603125032
172,Lethem,GY,3.38,-59.8,94.78,41,75,8.97,1603125179
173,Ligayan,PH,4.65,119.47,79.5,81,100,13.06,1603125314
174,Ribeira Grande,PT,38.52,-28.7,66.2,68,40,14.99,1603125314
175,Atagay,RU,55.1,99.39,29.1,91,97,10.51,1603125315
176,Cartagena,CO,10.4,-75.51,86,79,75,12.75,1603125091
177,Muborak,UZ,39.26,65.15,58.98,32,0,3.11,1603125315
178,Coaldale,CA,49.72,-112.62,24.01,82,90,1.01,1603125315
179,Faya,SA,18.39,42.45,69.8,15,20,9.17,1603125315
180,General Roca,AR,-39.03,-67.58,66.2,21,0,3.36,1603125316
181,Oistins,BB,13.07,-59.53,87.8,70,20,9.17,1603125316
182,Klaksvík,FO,62.23,-6.59,44.6,70,69,17.22,1603125316
183,Airai,TL,-8.93,125.41,61.02,72,35,1.72,1603125196
184,Cabedelo,BR,-6.98,-34.83,86,55,75,11.41,1603125317
185,Laas,IT,46.62,10.7,48.99,75,5,8.05,1603125317
186,Mar del Plata,AR,-38,-57.56,62.6,55,75,13.87,1603125317
187,Manado,ID,1.49,124.85,75.2,94,40,2.24,1603125317
188,Misratah,LY,32.38,15.09,71.83,58,56,12.12,1603125317
189,Baykal'sk,RU,51.51,104.15,31.75,90,100,11.54,1603125318
190,Cabo San Lucas,MX,22.89,-109.91,87.01,62,5,3.36,1603125175
191,Chokurdakh,RU,70.63,147.92,16.3,98,99,7.09,1603125318
192,Tombouctou,ML,20,-3,95.61,11,0,7.18,1603125318
193,Kaeo,NZ,-35.1,173.78,53.01,93,23,3,1603125220
194,Puerto Suárez,BO,-18.95,-57.8,91.4,63,40,4.7,1603125319
195,Nanortalik,GL,60.14,-45.24,39.06,87,81,9.62,1603125319
196,Ketchikan,US,55.34,-131.65,42.8,100,90,6.93,1603125312
197,Itoman,JP,26.12,127.67,78.8,83,20,16.11,1603125319
198,Opuwo,NA,-18.06,13.84,86.81,13,1,6.98,1603125320
199,Upernavik,GL,72.79,-56.15,37.87,74,68,26.35,1603125320
200,Hamilton,US,39.18,-84.53,57.2,93,90,6.93,1603125156
201,Port Blair,IN,11.67,92.75,80.89,84,97,12.59,1603125195
202,Nizhniy Kuranakh,RU,58.84,125.49,22.64,95,91,4.32,1603125320
203,Tual,ID,-5.67,132.75,80.38,82,29,11.41,1603125321
204,Abhā,SA,18.22,42.51,69.8,15,20,9.17,1603125321
205,Port Elizabeth,ZA,-33.92,25.57,68,77,65,6.93,1603125321
206,Saldanha,ZA,-33.01,17.94,66.2,48,96,10.29,1603125170
207,Biak,ID,-0.91,122.88,76.21,68,33,6.87,1603125322
208,Esperance,AU,-33.87,121.9,57.2,100,90,5.82,1603125322
209,Fécamp,FR,49.76,0.37,57.2,54,100,18.34,1603125322
210,Oak Ridge,US,36.01,-84.27,68,68,97,3,1603125112
211,East London,ZA,-33.02,27.91,68,77,20,11.41,1603125323
212,Assiut,EG,27.18,31.18,95,23,0,10.29,1603125323
213,São Filipe,CV,14.9,-24.5,82.47,72,18,10.85,1603125178
214,Polonnaruwa,LK,7.93,81,79.14,72,29,9.4,1603125324
215,Mitú,CO,1.2,-70.17,92.79,47,80,2.13,1603125200
216,Coahuayana Viejo,MX,18.73,-103.68,78.8,74,40,6.93,1603125324
217,Iqaluit,CA,63.75,-68.51,33.01,74,42,4,1603125324
218,Barrow,US,71.29,-156.79,21.2,85,90,9.17,1603125124
219,Kruisfontein,ZA,-34,24.73,64.99,79,63,4,1603125236
220,Longyearbyen,SJ,78.22,15.64,26.6,79,75,6.93,1603125325
221,Tocopilla,CL,-22.09,-70.2,67.69,48,11,8.16,1603125325
222,Lazurne,UA,46.08,32.53,51.8,62,38,6.71,1603125325
223,Vanimo,PG,-2.67,141.3,77.95,83,60,1.77,1603125326
224,Bud,US,39.45,-86.18,46.99,93,90,6.93,1603125326
225,Mahibadhoo,MV,3.78,72.97,82.8,77,90,12.46,1603125326
226,Qaqortoq,GL,60.72,-46.03,37.4,93,90,4.7,1603125326
227,Puerto Quijarro,BO,-17.78,-57.77,101.98,30,12,7.27,1603125327
228,Halifax,CA,44.65,-63.57,57.99,93,97,3.67,1603125327
229,Gamba,GA,-2.65,10,77.72,85,60,9.78,1603125046
230,Inhambane,MZ,-23.86,35.38,71.6,77,0,10.96,1603125327
231,Edgewater,US,28.99,-80.9,82.4,69,75,16.11,1603125042
232,Porto Santo,PT,33.07,-16.34,73.4,64,20,8.05,1603125328
233,Pimentel,PE,-6.84,-79.93,73.4,56,28,13.87,1603125285
234,Salalah,OM,17.02,54.09,86,48,40,4.7,1603125115
235,Korla,CN,41.76,86.15,45,85,0,4,1603125328
236,Tobatí,PY,-25.25,-57.07,98.6,29,0,11.41,1603125329
237,Bhubaneswar,IN,20.23,85.83,78.8,100,40,3.67,1603125329
238,Souillac,MU,-20.52,57.52,75.2,73,40,8.05,1603125329
239,Voi,KE,-3.39,38.56,75.06,71,53,13.04,1603125329
240,Caxito,AO,-8.58,13.66,80.6,74,40,10.29,1603125330
241,Pevek,RU,69.7,170.31,25.36,94,98,14.03,1603125330
242,Coquimbo,CL,-29.95,-71.34,60.8,67,0,14.99,1603125330
243,Jalapilla,MX,18.83,-97.08,77.04,53,19,6.22,1603125330
244,Charters Towers,AU,-20.1,146.27,66.85,83,8,7.65,1603125330
245,Paraopeba,BR,-19.28,-44.4,68,72,75,8.05,1603125331
246,Salamiyah,SY,35.01,37.05,68.94,46,40,6.06,1603125331
247,Mikhaylovka,RU,50.06,43.24,48.81,51,100,3.31,1603125331
248,Grand Gaube,MU,-20.01,57.66,75,69,9,5.99,1603125331
249,Farnes,NO,61.32,7.8,32,91,75,10.29,1603125332
250,Ajdabiya,LY,30.76,20.23,73.44,72,26,12.71,1603125332
251,Piaçabuçu,BR,-10.41,-36.43,82.04,58,62,12.91,1603125332
252,Clyde River,CA,70.47,-68.59,32.85,94,100,14.41,1603125332
253,Yabēlo,ET,4.88,38.08,61.5,85,24,7.05,1603125332
254,Kaya,BF,13.09,-1.08,96.19,25,56,2.26,1603125333
255,Whitecourt,CA,54.15,-115.69,19.67,92,100,3.96,1603125333
256,Makungu,TZ,-8.73,35.28,68.43,66,19,7.47,1603125333
257,Zhangzhou,CN,24.51,117.66,71.6,64,40,11.18,1603125270
258,Vardø,NO,70.37,31.11,37.4,86,75,16.11,1603125096
259,Scalea,IT,39.81,15.8,60.01,79,9,3.15,1603125334
260,Sola,VU,-13.88,167.55,79.52,78,99,16.82,1603125334
261,Kirkwall,GB,58.98,-2.96,48.2,93,75,8.05,1603125335
262,Lakatoro,VU,-16.1,167.42,77,83,40,3.36,1603125335
263,Beloha,MG,-25.17,45.05,69.62,76,0,11.25,1603125157
264,Tongzi,CN,28.78,105.09,57.81,90,100,2.62,1603125335
265,Nishihara,JP,26.18,127.76,78.8,83,20,16.11,1603125335
266,‘Āhuimanu,US,21.44,-157.84,75.2,94,75,6.22,1603125136
267,Oro Valley,US,32.39,-110.97,80.01,15,47,1.01,1603125336
268,Cap Malheureux,MU,-19.98,57.61,75,69,6,5.99,1603125336
269,Khasan,RU,42.43,130.64,51.06,59,0,4,1603125336
270,Tegul'det,RU,57.31,88.17,31.86,92,100,8.99,1603125336
271,Umba,RU,66.69,34.34,32.52,94,100,12.77,1603125337
272,Khovd,MN,48.01,91.64,26.24,77,0,2.93,1603125337
273,Port Moresby,PG,-9.44,147.18,78.8,83,40,4.7,1603125337
274,Bend,US,44.06,-121.32,53.6,62,1,5.82,1603125154
275,Kalmunai,LK,7.42,81.82,81.14,80,71,2.98,1603125218
276,Somerset,US,40.57,-74.55,68,68,75,6.4,1603125338
277,Jalu,LY,29.03,21.55,82.99,25,78,6.44,1603125338
278,Kulai,MY,1.66,103.6,79,94,20,2.24,1603125339
279,Westport,US,41.14,-73.36,66,72,40,10.29,1603125339
280,Tucuruí,BR,-3.77,-49.67,99.36,32,43,5.88,1603125339
281,Harper,LR,4.38,-7.72,79.79,81,57,10.58,1603125340
282,Payo,ID,-3.75,103.64,73.9,94,96,2.06,1603125340
283,Cherskiy,RU,68.75,161.3,17.65,95,55,4.76,1603125340
284,Kutum,SD,14.2,24.67,82.92,15,11,8.52,1603125340
285,Bandar,ID,2.05,99.75,75.22,87,40,2.55,1603125340
286,Ende,ID,-8.84,121.66,77.83,75,89,0.18,1603125341
287,Vallenar,CL,-28.57,-70.76,86.16,13,0,8.46,1603125180
288,Werda,BW,-25.27,23.28,91.02,12,15,7.2,1603125341
289,Dossor,KZ,47.53,52.98,62.83,25,0,9.6,1603125342
290,Tiznit Province,MA,29.58,-9.5,79.47,24,0,2.06,1603125342
291,Hauterive,FR,46.09,3.45,62.6,55,100,3.36,1603125342
292,Pangnirtung,CA,66.15,-65.71,30.29,94,100,12.86,1603125213
293,Clifton,US,40.86,-74.16,64.99,72,75,5.82,1603125342
294,Ixtapa,MX,20.7,-105.2,88,70,40,3.36,1603125343
295,Kurush,RU,41.28,47.83,60.8,77,14,4.7,1603125343
296,San Cristobal,VE,7.77,-72.22,86,55,40,9.17,1603125343
297,Beyneu,KZ,45.32,55.2,60.31,27,0,14.05,1603125343
298,Camden,US,39.78,-74.97,70,67,94,6.08,1603125343
299,Peniche,PT,39.36,-9.38,66.99,89,100,20,1603125344
300,Burnie,AU,-41.07,145.92,46,78,45,5.01,1603125082
301,Palmer,US,42.16,-72.33,63,67,75,4.52,1603125344
302,Vao,NC,-22.67,167.48,72.28,79,18,16.49,1603125344
303,Prince Rupert,CA,54.32,-130.32,45.14,84,95,4.83,1603125344
304,Bilma,NE,18.69,12.92,88.79,12,0,5.17,1603125345
305,Cayenne,GF,4.93,-52.33,91.4,59,14,11.41,1603125345
306,Ivaiporã,BR,-24.25,-51.68,87.85,38,14,5.5,1603125345
307,Luang Prabang,LA,19.89,102.13,66.52,88,99,2.19,1603125345
308,Vila Velha,BR,-20.33,-40.29,77,83,90,8.05,1603125342
309,Tuskegee,US,32.42,-85.69,78.01,100,1,5.99,1603125346
310,Świnoujście,PL,53.91,14.25,50,85,95,12.24,1603125346
311,Fairbanks,US,64.84,-147.72,17.6,85,75,1.12,1603125346
312,Monte Patria,CL,-30.69,-70.95,84.47,14,0,7.72,1603125346
313,Hambantota,LK,6.12,81.12,82.4,78,40,14.99,1603125347
314,El'brus,RU,43.26,42.64,46.13,66,95,8.66,1603125347
315,Robertsport,LR,6.75,-11.37,79.92,83,100,9.15,1603125069
316,Zhigansk,RU,66.77,123.37,11.16,94,100,7.36,1603125347
317,Alexandria,EG,31.22,29.96,80.6,69,40,17.22,1603125347
318,Caravelas,BR,-17.71,-39.25,79.68,60,100,7.94,1603125172
319,Karratha,AU,-20.74,116.85,68.58,80,0,13.09,1603125339
320,Lagos,NG,6.58,3.75,80.17,82,67,6.49,1603125291
321,Quelimane,MZ,-17.88,36.89,74.64,80,0,9.13,1603125348
322,Dawei,MM,14.08,98.2,74.68,89,96,4.21,1603125348
323,Rawson,AR,-43.3,-65.1,60.12,30,0,24.18,1603125349
324,Kathu,TH,7.92,98.33,86,94,20,1.12,1603125349
325,Srednekolymsk,RU,67.45,153.68,16.72,96,84,3.65,1603125349
326,Kahului,US,20.89,-156.47,72,73,1,5.82,1603125251
327,Havøysund,NO,71,24.66,33.8,78,90,3.36,1603125350
328,Chapais,CA,49.78,-74.85,34.74,85,96,5.99,1603125063
329,Hitoyoshi,JP,32.22,130.75,60.01,72,53,10,1603125350
330,Kuala Terengganu,MY,5.33,103.14,80.6,88,20,3.36,1603125080
331,Bonthe,SL,7.53,-12.51,81.75,80,99,6.11,1603125351
332,Mounana,GA,-1.41,13.16,86,66,40,5.82,1603125351
333,Usakos,NA,-22,15.6,80.8,21,0,15.03,1603125351
334,Severo-Kuril'sk,RU,50.68,156.12,41.4,71,100,9.51,1603125351
335,Yafran,LY,32.06,12.53,61.66,61,6,11.3,1603125085
336,Nicoya,CR,10.15,-85.45,86,74,40,6.93,1603125330
337,Kununurra,AU,-15.77,128.73,82.4,83,77,5.82,1603125352
338,Muyezerskiy,RU,63.93,31.65,30.99,98,100,13.56,1603125352
339,Yangi Marg`ilon,UZ,40.43,71.72,57.2,54,0,6.93,1603125353
340,Kondoa,TZ,-4.9,35.78,74.53,41,89,6.17,1603125353
341,Port Hedland,AU,-20.32,118.57,73.4,83,0,12.75,1603125353
342,Awjilah,LY,29.11,21.29,83.48,27,84,8.84,1603125354
343,Santa Rosa,PH,14.31,121.11,82.4,78,75,3.36,1603125354
344,Barra de Tecoanapa,MX,16.52,-98.75,87.26,58,70,4.85,1603125354
345,Aykhal,RU,66,111.5,15.8,92,90,4.47,1603125354
346,Talnakh,RU,69.49,88.4,15.8,85,90,11.18,1603125355
347,Rocha,UY,-34.48,-54.33,86.97,54,40,6.55,1603125355
348,Lindi,TZ,-10,39.72,80.6,69,20,9.17,1603125355
349,Ijuí,BR,-28.39,-53.91,92.01,32,0,1.81,1603125356
350,Ibb,YE,13.97,44.18,63.66,69,0,1.59,1603125356
351,Paita,PE,-5.09,-81.11,78.8,65,13,21.92,1603125356
352,Husavik,IS,66.04,-17.34,39.2,69,75,4.7,1603125356
353,Honiara,SB,-9.43,159.95,75.2,94,20,2.24,1603125337
354,Aachen,DE,50.78,6.08,51.01,71,51,6.31,1603125357
355,Bolobo,CD,-2.17,16.23,78.58,76,32,2.68,1603125357
356,Tétouan,MA,35.57,-5.37,71.6,73,75,10.29,1603125116
357,Quatre Cocos,MU,-20.21,57.76,75.2,73,40,8.05,1603125357
358,Kondinskoye,RU,59.65,67.41,40.23,98,100,10.63,1603125277
359,Le Port,RE,-20.94,55.29,75.2,69,75,11.41,1603125358
360,Shingū,JP,33.73,135.98,52.61,77,82,7.23,1603125358
361,Panzós,GT,15.4,-89.67,84.13,66,71,2.95,1603125358
362,Goderich,CA,43.75,-81.72,51.01,80,100,2.64,1603125359
363,Takoradze,GH,4.88,-1.76,80.33,80,90,11.43,1603125189
364,Nemuro,JP,43.32,145.57,52.9,68,15,7.81,1603125359
365,Borogontsy,RU,62.67,131.17,7.07,95,58,0.76,1603125359
366,Esso,RU,55.93,158.7,25.47,88,96,3.4,1603125360
367,Daru,PG,-9.08,143.21,78.03,89,76,10.33,1603125360
368,Taos,US,36.41,-105.57,61,25,1,7.2,1603125361
369,Sarkand,KZ,45.41,79.92,50.18,40,23,3.94,1603125361
370,Presidente Médici,BR,-11.18,-61.9,88.32,53,99,9.4,1603125361
371,Ayan,RU,56.45,138.17,27.5,84,61,16.11,1603125127
372,Krasne,UA,49.91,24.61,44.6,87,78,4.47,1603125362
373,Araouane,ML,18.9,-3.53,96.28,13,0,8.63,1603125362
374,Colchester,GB,51.89,0.9,55,66,100,13.87,1603125250
375,Gairo,IT,39.85,9.5,66.2,63,20,3.36,1603125362
376,Myitkyina,MM,25.38,97.4,71.51,92,51,2.75,1603125363
377,Knyaze-Volkonskoye,RU,48.46,135.46,28.4,58,5,6.71,1603125363
